Rule	Ugric	Position	Hungarian	Khanty	Mansi	Sumerian							
13	m	Last Syl	"m, v, -"	m	m	m							
13	m	other	"m, v, -"	m	m	m							
14	n	Initial	"n, ń"	n	"n, ń"	n							
14	n	Medial	"n, ń"	n	"n, ń"	n							
14	n	Final	"n, ń"	n	"n, ń"	n							
14	n	Last Syl	"n, ń"	n	"n, ń"	n							
14	n	other	"n, ń"	n	"n, ń"	n							
14b	ń	Initial	ń	ń	ń	"n, -"							
14b	ń	Medial	ń	ń	ń	"n, -"							
14b	ń	Final	ń	ń	ń	"n, -"							
14b	ń	Last Syl	ń	ń	ń	"n, -"							
14b	ń	other	ń	ń	ń	"n, -"							
14c	ŋ	Initial	"g, k, ng, nk, d’, ń, v"	"g, m, ŋ, ŋg, ŋk, w"	"g, k, m, ŋ, ŋh, ŋk"	"g, j, m, n, ŋ"							
14c	ŋ	Medial	"g, k, ng, nk, d’, ń, v"	"g, m, ŋ, ŋg, ŋk, w"	"g, k, m, ŋ, ŋh, ŋk"	"g, j, m, n, ŋ"							
14c	ŋ	Final	"g, k, ng, nk, d’, ń, v"	"g, m, ŋ, ŋg, ŋk, w"	"g, k, m, ŋ, ŋh, ŋk"	"g, j, m, n, ŋ"							
14c	ŋ	Last Syl	"g, k, ng, nk, d’, ń, v"	"g, m, ŋ, ŋg, ŋk, w"	"g, k, m, ŋ, ŋh, ŋk"	"g, j, m, n, ŋ"							
14c	ŋ	other	"g, k, ng, nk, d’, ń, v"	"g, m, ŋ, ŋg, ŋk, w"	"g, k, m, ŋ, ŋh, ŋk"	"g, j, m, n, ŋ"							
14d	nt	Initial	"d, t"	nt	"nn, nt"	d							
14d	nt	Medial	"d, t"	nt	"nn, nt"	d							
14d	nt	Final	"d, t"	nt	"nn, nt"	d							
14d	nt	Last Syl	"d, t"	nt	"nn, nt"	d							
14d	nt	other	"d, t"	nt	"nn, nt"	d							
15	w	Initial	"v, -"	"w, -"	"w, -"	"b, m, -"							
15	w	Medial	"v, -"	"w, -"	"w, -"	"b, m, -"							
15	w	Final	"v, -"	"w, -"	"w, -"	"b, m, -"							
15	w	Last Syl	"v, -"	"w, -"	"w, -"	"b, m, -"							
15	w	other	"v, -"	"w, -"	"w, -"	"b, m, -"							
16	j	Initial	"d’, j, -"	"j, -"	"j, -"	-							
16	j	Medial	"d’, j, -"	"j, -"	"j, -"	-							
16	j	Final	"d’, j, -"	"j, -"	"j, -"	-							
16	j	Last Syl	"d’, j, -"	"j, -"	"j, -"	-							
16	j	other	"d’, j, -"	"j, -"	"j, -"	-							
16	-	Initial	"d’, j, -"	"j, -"	"j, -"	-							
16	-	Medial	"d’, j, -"	"j, -"	"j, -"	-							
16	-	Final	"d’, j, -"	"j, -"	"j, -"	-							
16	-	Last Syl	"d’, j, -"	"j, -"	"j, -"	-							
16	-	other	"d’, j, -"	"j, -"	"j, -"	-							
16b	jk	Initial	"g, h, -"	g	"g, w"	ŋ							
16b	jk	Medial	"g, h, -"	g	"g, w"	ŋ							
16b	jk	Final	"g, h, -"	g	"g, w"	ŋ							
16b	jk	Last Syl	"g, h, -"	g	"g, w"	ŋ							
16b	jk	other	"g, h, -"	g	"g, w"	ŋ							
													
